strategy,fast,slow,sharpe,maxdd,cagr,win_rate,profit_factor,trades,rsi_window,entry,exit,short_entry,short_exit,lookback,skip,top_n,gross_exposure
rsi_mr,,,-0.8119663119708722,-1.0895140726601327,,0.6,0.006021188770894371,10.0,21.0,30.0,60.0,75.0,55.0,,,,
xs_mom_ls,,,0.6494856447177325,-0.28864525830328536,0.10398882245013841,0.5812897366030881,1.2894268283707158,1101.0,,,,,,126.0,0.0,5.0,1.0
xs_mom_ls,,,0.640720459974125,-0.15417237477836576,0.05397328076798291,0.5848888888888889,1.3257887817297695,1125.0,,,,,,126.0,0.0,5.0,0.5
xs_mom_ls,,,0.5365902658080753,-0.1980125057899872,0.06216029869046147,0.5567593028732926,1.1971496601815512,2123.0,,,,,,126.0,21.0,10.0,1.0
xs_mom_ls,,,0.5363201211596313,-0.26424580809525056,0.08249478192586523,0.5601469237832875,1.2125724045168296,1089.0,,,,,,126.0,21.0,5.0,1.0
xs_mom_ls,,,0.53302745556988,-0.09978146381733655,0.032429764407935435,0.5612813370473537,1.2212921200201945,2154.0,,,,,,126.0,21.0,10.0,0.5
xs_mom_ls,,,0.5301511287126172,-0.13494107856206372,0.0438970247799404,0.5675675675675675,1.2467603334047481,1110.0,,,,,,126.0,21.0,5.0,0.5
xs_mom_ls,,,0.5015263994290742,-0.20243051320819938,0.05805018948548257,0.5900649953574745,1.2041405583166027,2154.0,,,,,,126.0,0.0,10.0,1.0
xs_mom_ls,,,0.49630462434944594,-0.10549253482678156,0.03040837401274543,0.5842129417163837,1.217900744109798,2179.0,,,,,,126.0,0.0,10.0,0.5
xs_mom_ls,,,0.4826469272875429,-0.12959920766749855,0.03859495065334517,0.6046625766871165,1.1738975157122735,4075.0,,,,,,126.0,0.0,20.0,1.0
xs_mom_ls,,,0.4778962282067923,-0.06641008997454978,0.019855729646858222,0.6039796165979131,1.180700644879554,4121.0,,,,,,126.0,0.0,20.0,0.5
xs_mom_ls,,,0.4777731417374214,-0.26235388743250965,0.06877984626975753,0.5668016194331984,1.143889414834375,1235.0,,,,,,63.0,0.0,5.0,1.0
xs_mom_ls,,,0.4731076273591012,-0.1388616972941562,0.03709398113204698,0.5653568564554932,1.1684280086816796,1247.0,,,,,,63.0,0.0,5.0,0.5
xs_mom_ls,,,0.4668866298031518,-0.15863160309387336,0.0515659311097838,0.5811158798283261,1.1533605687264372,2330.0,,,,,,63.0,0.0,10.0,1.0
xs_mom_ls,,,0.46229460299444597,-0.07987974716080026,0.02715235938076943,0.5821276595744681,1.1620722426752186,2350.0,,,,,,63.0,0.0,10.0,0.5
xs_mom_ls,,,0.43348566586570847,-0.19394778829193648,0.04663082944189889,0.5312101910828025,1.1209824993865747,2355.0,,,,,,63.0,21.0,10.0,1.0
xs_mom_ls,,,0.43079708541057443,-0.09893795030038766,0.024794487622980643,0.5327455919395466,1.1367489737394711,2382.0,,,,,,63.0,21.0,10.0,0.5
xs_mom_ls,,,0.39057060187001347,-0.22575000585710936,0.05265478324880779,0.5303152789005658,1.1124473235268257,1237.0,,,,,,63.0,21.0,5.0,1.0
xs_mom_ls,,,0.3843034094267902,-0.11408660204106447,0.029031638554783523,0.5303643724696356,1.1326036180360077,1235.0,,,,,,63.0,21.0,5.0,0.5
xs_mom_ls,,,0.37746693996541525,-0.10570871489803224,0.0280292862048912,0.5923321234119783,1.1034501867393909,4408.0,,,,,,63.0,0.0,20.0,1.0
xs_mom_ls,,,0.3735619131861169,-0.053733765783480214,0.014615730338290112,0.590878604963112,1.1075608781919803,4473.0,,,,,,63.0,0.0,20.0,0.5
xs_mom_ls,,,0.3263444455336192,-0.4573499617395117,0.0437015996389265,0.5809128630705395,1.1494108284829292,964.0,,,,,,252.0,0.0,5.0,1.0
xs_mom_ls,,,0.325409838823358,-0.2546283872343753,0.02569135771468889,0.5902140672782875,1.1829527992698408,981.0,,,,,,252.0,0.0,5.0,0.5
xs_mom_ls,,,0.21725498817460415,-0.1757858362101855,0.015023479753638602,0.5544334975369458,1.059335234825758,4060.0,,,,,,126.0,21.0,20.0,1.0
xs_mom_ls,,,0.21394075669771095,-0.09084483663248966,0.008251795018334063,0.552483484218253,1.0677450796971861,4087.0,,,,,,126.0,21.0,20.0,0.5
xs_mom_ls,,,0.2069921516604186,-0.36336890569009483,0.021212590570494738,0.5462868769074263,1.0684546680562572,983.0,,,,,,252.0,21.0,5.0,1.0
xs_mom_ls,,,0.20508817348111558,-0.19404358150718104,0.014390197641474423,0.5497967479674797,1.09510475333548,984.0,,,,,,252.0,21.0,5.0,0.5
xs_mom_ls,,,0.20121839225399024,-0.1694376901822482,0.01392584432306676,0.5994152046783626,1.0717155165080061,3762.0,,,,,,252.0,0.0,20.0,1.0
xs_mom_ls,,,0.19630206271386058,-0.08646839155582198,0.007694004959461154,0.5983153461437221,1.0793755188980598,3799.0,,,,,,252.0,0.0,20.0,0.5
xs_mom_ls,,,0.15402057686010248,-0.3013891204931235,0.011677270966848674,0.5848375451263538,1.0469456099357968,1939.0,,,,,,252.0,0.0,10.0,1.0
xs_mom_ls,,,0.14841099676872951,-0.15891185331300173,0.007654793767135404,0.5807106598984771,1.0616797755663412,1970.0,,,,,,252.0,0.0,10.0,0.5
xs_mom_ls,,,0.12735677333503698,-0.09955105549448084,0.004326057842914066,0.5448415374241402,1.0296015558344496,4449.0,,,,,,63.0,21.0,20.0,0.5
xs_mom_ls,,,0.12648420114125647,-0.19437544369115112,0.00696625327239464,0.5427795382526029,1.023061791087743,4418.0,,,,,,63.0,21.0,20.0,1.0
xs_mom_ls,,,0.05171400870377085,-0.32100578499891963,-0.0018209641244543162,0.5467436974789915,0.992930983840011,1904.0,,,,,,252.0,21.0,10.0,1.0
xs_mom_ls,,,0.04655478715920628,-0.17108711488271466,0.0009064641724516598,0.5457348406988695,1.0071157629069685,1946.0,,,,,,252.0,21.0,10.0,0.5
xs_mom_ls,,,0.04454050993089373,-0.20164000289293893,0.00011826093237177204,0.5643776824034334,1.0005961093920634,3728.0,,,,,,252.0,21.0,20.0,1.0
xs_mom_ls,,,0.03954158593346274,-0.1044070765846139,0.0007755378272535918,0.5592948717948718,1.0078794353400742,3744.0,,,,,,252.0,21.0,20.0,0.5
