Date,BuyHold_SPY,TSMOM_252d_Enhanced,TSMOM_63d_Enhanced,XAsset_MomRot
2018-10-04,3.170285304246519,6.90991987564644,6.804566575901451,2.500298012491729
2018-10-05,3.1525419952020495,6.877147422204788,6.772293793392741,2.481923558772856
2018-10-08,3.1525419952020495,6.881522924232623,6.776602583565016,2.4718405252817477
2018-10-09,3.147940271870717,6.876593149630118,6.7717479716316475,2.4759817598430374
2018-10-10,3.0482672959333335,6.715272485584629,6.612886911254523,2.3770061126917024
2018-10-11,2.9811241560694937,6.582504369293532,6.4821430672276374,2.321243052748243
2018-10-12,3.0225278897670664,6.662338555802489,6.560760047874219,2.346905253422491
2018-10-15,3.0055500392099557,6.627223167764937,6.526180052730965,2.3410830519478254
2018-10-16,3.0712689963594633,6.728064257536339,6.625483651221933,2.3856121024528245
2018-10-17,3.0718165001224604,6.749032787661949,6.646132480992215,2.371278656671987
2018-10-18,3.0274563582597906,6.699101719860254,6.59696269593292,2.3296371522269377
2018-10-19,3.0258132861953495,6.690179182951084,6.588176198040467,2.3399576544540674
2018-10-22,3.0122320525304986,6.687571529542611,6.585608302674941,2.3324171147480683
2018-10-23,2.996896152486932,6.6462786976488255,6.544945049151688,2.296551296783095
2018-10-24,2.906094831071784,6.532541555848781,6.432942020540775,2.234650023600176
2018-10-25,2.9582318068558426,6.625499384191208,6.524482551124437,2.2638046874217648
2018-10-26,2.906204369209413,6.538605228398784,6.438913242248624,2.249689696818371
2018-10-29,2.8901033845287865,6.522058642067596,6.422618936334703,2.2342549187559055
2018-10-30,2.9329296186143456,6.60390945952776,6.503221801016623,2.252277279240821
2018-10-31,2.964255843650012,6.639604594164422,6.538372703551251,2.255567113008453
2018-11-01,2.9958020795866855,6.639604594164422,6.538372703551251,2.2526607964971763
2018-11-02,2.97805708821587,6.639604594164422,6.538372703551251,2.246918210570993
2018-11-05,2.9944870611596834,6.639604594164422,6.538372703551251,2.251316134912104
2018-11-06,3.013436785119273,6.639604594164422,6.538372703551251,2.2511323500408578
2018-11-07,3.0779506358297084,6.639604594164422,6.538372703551251,2.268164540777828
2018-11-08,3.072364003885459,6.639604594164422,6.538372703551251,2.2662342330153096
2018-11-09,3.042352610351644,6.639604594164422,6.538372703551251,2.247620602730848
2018-11-12,2.9855058684998195,6.639604594164422,6.538372703551251,2.235526007636969
2018-11-13,2.9799196104058687,6.639604594164422,6.538372703551251,2.2036898136719345
2018-11-14,2.959546638357695,6.639604594164422,6.538372703551251,2.202295150799825
2018-11-15,2.9904341500673954,6.639604594164422,6.538372703551251,2.2123646211684953
2018-11-16,2.9982117316893833,6.639604594164422,6.538372703551251,2.2137704184660665
2018-11-19,2.947497817068759,6.639604594164422,6.538372703551251,2.197102706955056
2018-11-20,2.8929517499574513,6.639604594164422,6.538372703551251,2.156226622507578
2018-11-21,2.902809060793201,6.639604594164422,6.538372703551251,2.166287958398739
2018-11-23,2.8834224927591405,6.639604594164422,6.538372703551251,2.1368010565075193
2018-11-26,2.929973397374398,6.639604594164422,6.538372703551251,2.1556083004106372
2018-11-27,2.9398305212849984,6.639604594164422,6.538372703551251,2.1573949649784416
2018-11-28,3.0075213518369854,6.639604594164422,6.538372703551251,2.1698555315070784
2018-11-29,3.0009498112798187,6.639604594164422,6.538372703551251,2.1721973030792645
2018-11-30,3.0192419325633324,6.63882588951608,6.53760587155928,2.1767451856761237
2018-12-03,3.0592207358459746,6.64092343718915,6.531187898864368,2.2079552862814644
2018-12-04,2.960094142120692,6.62277263351629,6.534076509798612,2.1796981503629884
2018-12-06,2.955603826178484,6.618823920615894,6.531152044587454,2.171619817945
2018-12-07,2.886926778537533,6.604900424142576,6.532285397804127,2.160147570144999
2018-12-10,2.8924042461944524,6.611832438212782,6.53792659376836,2.154366373322712
2018-12-11,2.893061475020229,6.6177992688960465,6.543681140800277,2.1611581322799984
2018-12-12,2.907628178073445,6.618599276149742,6.541243305761872,2.1595509865222287
2018-12-13,2.90664252175993,6.617787962729301,6.5406587815579105,2.169604639580792
2018-12-14,2.852972198974209,6.614043313516793,6.548793383404649,2.1454672009299784
2018-12-17,2.7970010145228215,6.601321984712063,6.548788395965722,2.118692484650655
2018-12-18,2.793934694369796,6.59761717935551,6.545816651711553,2.101347779084557
2018-12-19,2.7520937427474537,6.589012998257802,6.546886756421883,2.093256677058642
2018-12-20,2.7072948875588176,6.57707857621093,6.545472591432573,2.0677607837308734
2018-12-21,2.651823727882445,6.576430401225819,6.5579706725997955,2.0506388623496514
2018-12-24,2.581755396353481,6.560212664559216,6.5587798423348875,2.019317385326203
2018-12-26,2.712197747306056,6.587449581354427,6.553535518227354,2.0755552857891866
2018-12-27,2.7330202743388687,6.582373574260041,6.543554879713271,2.071632539920092
2018-12-28,2.729494866018577,6.572599299272722,6.534665440166129,2.0637172581493686
2018-12-31,2.7534018449439213,6.5681088412261035,6.524591810749316,2.069432435835626
2019-01-02,2.756266285935445,6.5681088412261035,6.524591810749316,2.077909372113659
2019-01-03,2.6904940551183185,6.5681088412261035,6.524591810749316,2.0605243060256258
2019-01-04,2.7806144082136988,6.5681088412261035,6.524591810749316,2.0793441018684864
2019-01-07,2.802538111302442,6.5681088412261035,6.524591810749316,2.079927048755614
2019-01-08,2.8288689486418486,6.5681088412261035,6.524591810749316,2.0875418304634175
2019-01-09,2.8420896036932404,6.5681088412261035,6.524591810749316,2.0843192340640906
2019-01-10,2.8521157079390234,6.5681088412261035,6.524591810749316,2.091283872707514
2019-01-11,2.8532170709201026,6.5681088412261035,6.524591810749316,2.09454954725772
2019-01-14,2.835809292519054,6.5681088412261035,6.524591810749316,2.0891841485076275
2019-01-15,2.868310342119569,6.5681088412261035,6.524591810749316,2.100581983685572
2019-01-16,2.875251620622522,6.5681088412261035,6.524591810749316,2.1030522918393753
2019-01-17,2.8970652247981867,6.5681088412261035,6.524591810749316,2.107856761883787
2019-01-18,2.9356243315700863,6.5681088412261035,6.524591810749316,2.1191106048972905
2019-01-22,2.895963674891958,6.5681088412261035,6.524591810749316,2.110523147771353
2019-01-23,2.902022479763941,6.5681088412261035,6.524591810749316,2.1098810170527718
